date_logged,project,thesis_version,node_id,prediction,engine_score,rubric,confidence,watch_signal,actual_outcome,date_resolved,notes
2026-04-01,epistemic_engine_v3,v1_score_35,OUTCOME,System achieves empirical calibration.,35,unknown,0.202,See node watch_signals below,,,
2026-04-01,epistemic_engine_v3,v1_score_35,N1,ECO's core principle (Brier Score minimisation) is mathematically sound.,35,unknown,0.800,Confirm mathematical correctness of Brier Score application for calibration.,,,
2026-04-01,epistemic_engine_v3,v1_score_35,N2,Firing Squad *implementation* correctly measures dP/dw_i (adversarial sensitivity).,35,unknown,0.050,Audit Firing Squad `_simulate_firing_squad_sensitivity` for true numerical derivative.,,,
2026-04-01,epistemic_engine_v3,v1_score_35,N3,Gradient descent updates axiom weights effectively.,35,unknown,0.150,Evaluate axiom weight convergence given real-world outcomes and accurate gradients.,,,
2026-04-01,epistemic_engine_v3,v1_score_35,N4,Meta-Judge bias adjustment is robust and converges.,35,unknown,0.350,Analyze Meta-Judge bias parameter stability and efficacy across diverse scenarios.,,,
2026-04-01,epistemic_engine_v3,v1_score_35,N5,`TARGET_BRIER_SCORE` is a valid and achievable calibration target.,35,unknown,0.100,Recalculate theoretical minimum Brier Score based on true probability distributions.,,,
2026-04-01,tsmc_fragility,legacy,OUTCOME,Catastrophic Systemic Risk (Z_EPI > 2.0),75,unknown,0.744,See node watch_signals below,,,
2026-04-01,tsmc_fragility,legacy,TSMC_Advanced_Dominance,TSMC retains >90% of sub-5nm production with <=5% alternative capacity.,75,unknown,0.800,Samsung/Intel 3nm/4nm yield rates and external wafer capacity; TSMC's non-Taiwan capacity ramp.,,,
2026-04-01,tsmc_fragility,legacy,Supply_Chain_Fragility,"Fab chemical buffers are 30-45 days, 90% fab chemicals via sea, Japan dominates photoresist.",75,unknown,0.850,Diversification of critical fab material sources and logistics pathways for Taiwan fabs.,,,
2026-04-01,tsmc_fragility,legacy,Digital_Economy_Dependency_Tiers,Thesis's tiered digital economy dependency and paralysis rates accurately reflect real-world vulnerability.,75,unknown,0.650,Empirical data on sector-specific advanced chip dependency; observed adaptive capacities in simulated disruptions.,,,
2026-04-01,tsmc_fragility,legacy,No_Rapid_Alternative_Capacity,Fab build times remain ~4 years and ASML lead times ~1.5 years even under crisis conditions.,75,unknown,0.750,Acceleration of new fab construction projects; ASML's ability to prioritize or ramp production under geopolitical pressure.,,,
2026-04-01,epistemic_engine_v3,v4_score_46,OUTCOME,Empirically Calibrated Probabilities and Precise Credit Assignment,46,unknown,0.452,See node watch_signals below,,,
2026-04-01,epistemic_engine_v3,v4_score_46,N_RSA_Precision,RSA computes precise dP/dw_i via Firing Squad,46,unknown,0.800,Verify Firing Squad execution of 2k+1 perturbations for numerical stability and correctness.,,,
2026-04-01,epistemic_engine_v3,v4_score_46,N_P_Pred_Fidelity,Meta-Judge's P_predicted function integrates all load-bearing inputs and is derived,46,unknown,0.150,Audit `calculate_p_predicted` for ignored `scenario_data` variables and hardcoded arbitrary constants.,,,
2026-04-01,epistemic_engine_v3,v4_score_46,N_Grad_Updates,All model parameters updated via rigorous gradient descent (not heuristic),46,unknown,0.300,Review all parameter update functions to confirm rigorous gradient computation versus heuristic logic.,,,
2026-04-01,epistemic_engine_v3,v4_score_46,N_BSS_Effectiveness,Brier Skill Score effectively drives empirical calibration and learning,46,unknown,0.700,Ensure `BS_reference` calculation remains robust and truly independent of Mutator's influence.,,,
2026-04-01,epistemic_engine_v3,v6_score_50,OUTCOME,V3 Achieves Empirically Calibrated Probabilities and Precise Credit Assignment,50,unknown,0.490,See node watch_signals below,,,
2026-04-01,epistemic_engine_v3,v6_score_50,node_A,Robust Architectural Integrity (Meta-Judge Validation),50,unknown,0.800,"Mutator-generated ThesisPredictor consistently adheres to required signature and output range [0,1].",,,
2026-04-01,epistemic_engine_v3,v6_score_50,node_B,Principled Gradient-Based Learning (EpistemicGradientUpdater + RSA),50,unknown,0.700,"Parameters (axiom weights, meta_judge_params) converge stably and in the expected direction during training.",,,
2026-04-01,epistemic_engine_v3,v6_score_50,node_C,Adequate Model Representation for Causal Complexity (ThesisPredictor),50,unknown,0.200,"ThesisPredictor demonstrates robust Brier Skill Score performance against diverse, complex, and noisy real-world simulations.",,,
2026-04-01,epistemic_engine_v3,v7_score_110,OUTCOME,Empirically Calibrated P_predicted,110,unknown,0.495,See node watch_signals below,,,
2026-04-01,epistemic_engine_v3,v7_score_110,N1,MLP Architectural Capacity,110,unknown,0.750,ThesisPredictor architecture (hidden_layer_size),,,
2026-04-01,epistemic_engine_v3,v7_score_110,N2,Adaptive Optimizer for Robust Learning,110,unknown,0.800,"Adam optimizer parameters (beta1, beta2, learning_rate)",,,
2026-04-01,epistemic_engine_v3,v7_score_110,N3,Validated Axiom Retirement,110,unknown,0.900,Mathematical consistency of retired axiom,,,
2026-04-01,epistemic_engine_v3,v7_score_110,N4,Empirical Calibration of Axioms,110,unknown,0.200,Mechanism for dynamic axiom derivation/calibration,,,
2026-04-01,epistemic_engine_v3,v7_score_110,N5,Achieved Brier Skill Score Target,110,unknown,0.100,Rolling Brier Skill Score > target_brier_skill_score,,,
